Head,Relation,Tail,Head Class,Tail Class,Title,Article
Performance,MEASURED_BY  ,Achieved Target,Financial Instrument ,Financial Instrument ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Performance,MEASURED_BY  ,Multiplier Effect,Financial Instrument ,Financial Instrument ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Duration Reduction Action Plan,CONCERNS ,Financial Instruments ,Financial Instrument ,Financial Instrument ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Duration Reduction Action Plan,BASED_ON  ,Annual Discharge Procedure Framework,Financial Instrument ,Financial Instrument ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Administrative Expenditure ,SUBCLASS_OF,Expenditure Estimates,Expenditure Estimates ,Expenditure Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Financial Instruments ,CONCERN,Administrative Expenditure ,Financial Instrument ,Expenditure Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Administrative Expenditure ,COMPRISED_OF,Management Fee,Expenditure Estimates ,Expenditure Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Administrative Expenditure ,COMPRISED_OF,Financial Operating Charge,Expenditure Estimates ,Expenditure Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Financial Instruments Work Document ,COMPRISED_OF,public-private partnership ,Working Documents ,Legal Construct,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
public-private partnership ,CONCERNS,Financial Instruments ,Legal Construct,Financial Instrument ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Trust Funds Working Document  ,SUBCLASS_OF,Working Documents,Working Documents,Working Documents ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Trust Funds Working Document  ,CONCERNS,Trust Funds,Working Documents,Fund ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Union Activities,FUNDED_BY,Trust Funds,E.U. Action,Fund ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Trust Funds,FUNDED_BY ,Financial Instruments ,Fund ,Financial Instrument ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Trust Funds,FUNDED_BY ,External Donors,Fund ,Person ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Trust Funds,EVALUATED_BY ,Objectives,Fund ,E.U. Action ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Objectives,RULED_BY,Basic Act ,E.U. Action ,Legal Construct,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Sections,SUBCLASS_OF,Structure ,Sections,Structure ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Commission Budget Section,SUBCLASS_OF,Sections,Sections,Sections,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Commission Budget Section,COMPRISED_OF,General Summary Statement ,Sections,Sections,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Expenditure Estimates,COMPRISED_OF,Payment Appropriations,Expenditure Estimates ,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Expenditure Estimates,COMPRISED_OF,Commitments,Expenditure Estimates ,Legal Construct,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
General Summary Statement ,COMPRISED_OF,Expenditure Estimates,Sections,Expenditure Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Commission Budget Section,COMPRISED_OF,Budget Lines,Sections,Budget Tool,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Budget Lines,COMPRISED_OF,Budgetary Guarantees,Budget Tool,Legal Construct,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Budget Lines,CONTAIN,Token Entry Pro Memoria ,Budget Tool,Budget Tool,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Commission Budget Section,COMPRISED_OF,Emergency Aid Reserve ,Sections,Reserve,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 51  Emergency Aid Reserve 
Emergency Aid Reserve ,CONCERNS,Emergency Aid,Reserve,E.U. Action ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 51  Emergency Aid Reserve 
Emergency Aid Reserve ,COMPRISED_OF,Negative Reserve,Reserve,Reserve,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 51  Emergency Aid Reserve 
Emergency Aid ,CONCERNS ,Member State,E.U. Action,European Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 51  Emergency Aid Reserve 
Emergency Aid ,CONCERNS,High Representative,E.U. Action,Person ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
High Representative,CONSULTS,European Commission,Person ,European Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
Negative Reserve,COMPRISES_OF ,Payment Appropriations,Reserve,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 50  Negative reserve 
Expenditure Estimates,COMPRISED_OF,Operational Appropriations,Expenditure Estimates,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 47  Budget nomenclature 
Expenditure Estimates,COMPRISED_OF,Administrative Appropriations,Expenditure Estimates,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 47  Budget nomenclature 
Payment Appropriations,SUBCLASS_OF,Appropriations,Appropriations,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Operational Appropriations,SUBCLASS_OF,Appropriations,Appropriations,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 47  Budget nomenclature 
Administrative Appropriations,SUBCLASS_OF,Appropriations,Appropriations,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 47  Budget nomenclature 
Appropriations,EXAMINED_BY,European Commission,Appropriations,European Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Appropriations,EXAMINED_BY,Union Institutions,Appropriations,European Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Appropriations,RULED_BY,Basic Act ,Appropriations,Legal Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Provision Titles Section,SUBCLASS_OF,Sections,Sections,Sections,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Provision Titles Section,COMPRISED_OF,Provisions,Sections,Provisions,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Provisions,COMPRISED_OF,Unauthorized Appropriations,Provisions,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Unauthorized Appropriations,NOT_RULED_BY,Basic Act ,Appropriations,Legal Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Provisions,COMPRISED_OF,Inadequate Appropriations,Provisions,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Inadequate Appropriations,NOT_RULED_BY,Sound Financial Management,Appropriations,Legal Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Basic Act ,BASED_ON,Article 294 TFUE,Legal Construct ,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Unauthorized Appropriations,SUBCLASS_OF,Appropriations,Appropriations,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Inadequate Appropriations,SUBCLASS_OF,Appropriations,Appropriations,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Introduction,SUBCLASS_OF,Structure ,Introduction,Structure ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Introduction,COMPRISED_OF,General Introduction,Introduction,Introduction,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
General Introduction,COMPRISED_OF,Changes in Appropriations,Introduction,E.U. Action,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Changes in Appropriations,RULED_BY,Multiannual Financial Framework ,E.U. Action,Legal Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Introduction,COMPRISED_OF,Union Institution Introduction,Introduction,Introduction ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Draft Budget ,COMPLIES_TO,Euratom treaty ,Draft Budget ,Legal Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Proposal ,BASED_ON,Estimated Draft Budget,Draft Budget ,Draft Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Estimated Draft Budget,INCLUDED_IN,Proposal ,Draft Budget ,Draft Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 40  Estimated budget of the Union bodies referred to in Article 70 
Expenditure Estimates,SUBCLASS_OF,Estimates ,Expenditure Estimates,Estimates,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
Revenue Estimates,SUBCLASS_OF,Estimates ,Revenue Estimates,Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
Revenue Estimates,COMPRISED_OF,Net Amounts ,Revenue Estimates,Revenue Estimates,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 48  Negative revenue 
Net Amounts ,RULED_BY,Resource Pay Decision,Revenue Estimates,Legal Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 48  Negative revenue 
Resource Pay Decision,CONCERNS,Euratom treaty ,E.U Action,Legal Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 48  Negative revenue 
Commission Estimates ,CONCERN,Estimates,Estimates ,Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
Union Institution Estimates ,CONCERN,Estimates,Estimates ,Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
Commission Estimates ,PROVIDED_BY,European Commission,Estimates ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
Union Institution Estimates ,PROVIDED_BY,Union Institutions,Estimates ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
